name,price,tdp,date,socket,category,speed,turbo,cpuCount,cores,logicals,rank,samples,l1_cache,l2_cache,l3_cache
AMD A8 PRO-7150B APU,0.0,19.0,2014-07-01,FP3,Laptop,1900.0,3200.0,1,4,1,2525,64,64.0,2048.0,0.0
AMD A8 PRO-7600B APU,0.0,65.0,2014-09-01,FM2+,Desktop,3100.0,3800.0,1,4,1,1850,107,64.0,2048.0,0.0
AMD A8-3500M APU,59.95,35.0,2011-07-01,FS1,Laptop,1500.0,2400.0,1,4,1,2620,255,64.0,2048.0,0.0
AMD A8-3510MX APU,77.11,45.0,2011-08-01,FS1,Laptop,1800.0,2500.0,1,4,1,2490,92,64.0,2048.0,0.0
AMD A8-3520M APU,55.0,35.0,2012-01-01,FS1,Laptop,1600.0,2500.0,1,4,1,2643,231,64.0,2048.0,0.0
AMD A8-3530MX APU,0.0,45.0,2011-07-01,FS1,Laptop,1900.0,2600.0,1,4,1,2522,87,64.0,2048.0,0.0
AMD A8-3550MX APU,0.0,45.0,2012-03-01,FS1,Laptop,2000.0,2700.0,1,4,1,2518,13,64.0,2048.0,0.0
AMD A8-3800 APU,109.95,65.0,2011-09-01,FM1,Desktop,2400.0,2700.0,1,4,1,2267,162,64.0,2048.0,0.0
AMD A8-3820 APU,44.95,65.0,2012-01-01,FM1,Desktop,2500.0,2800.0,1,4,1,2157,129,64.0,2048.0,0.0
AMD A8-3850 APU,68.02,100.0,2011-06-01,FM1,Desktop,2900.0,0.0,1,4,1,2074,486,64.0,2048.0,0.0
AMD A8-3870K APU,68.04,100.0,2011-12-01,FM1,Desktop,3000.0,0.0,1,4,1,2082,584,64.0,2048.0,0.0
AMD A8-4500M APU,56.21,35.0,2012-05-01,FS1r2,Laptop,1900.0,2800.0,1,2,2,2472,1667,64.0,2048.0,0.0
AMD A8-4555M APU,0.0,19.0,2012-10-01,FP2,Laptop,1600.0,2400.0,1,2,2,2707,223,64.0,2048.0,0.0
AMD A8-5500 APU,58.95,65.0,2012-06-01,FM2,Desktop,3200.0,3700.0,1,2,2,1965,912,64.0,2048.0,0.0
AMD A8-5500B APU,49.04,65.0,2013-03-01,FM2,Desktop,3200.0,3700.0,1,2,2,1927,94,64.0,2048.0,0.0
AMD A8-5545M APU,0.0,19.0,2013-08-01,FP2,Laptop,1700.0,2700.0,1,4,1,2512,287,64.0,2048.0,0.0
AMD A8-5550M APU,0.0,35.0,2013-07-01,FS1r2,Laptop,2100.0,3100.0,1,4,1,2346,452,64.0,2048.0,0.0
AMD A8-5557M APU,0.0,35.0,2013-07-01,FP2,Laptop,2100.0,3100.0,1,4,1,2423,151,64.0,2048.0,0.0
AMD A8-5600K APU,69.01,100.0,2012-10-01,FM2,Desktop,3600.0,3900.0,1,4,1,1863,1042,64.0,2048.0,0.0
AMD A8-6410 APU,0.0,15.0,2014-06-01,BGA769 (FT3b),Laptop,2000.0,2400.0,1,4,1,2394,1502,64.0,2048.0,0.0
AMD A8-6500 APU,30.8,65.0,2013-08-01,FM2,Desktop,3500.0,4100.0,1,2,2,1860,522,64.0,2048.0,0.0
AMD A8-6500B APU,49.95,65.0,2014-04-01,FM2,Desktop,3500.0,4100.0,1,2,2,1849,60,64.0,2048.0,0.0
AMD A8-6500T APU,59.95,45.0,2014-03-01,FM2,Desktop,2100.0,3100.0,1,2,2,2368,7,64.0,2048.0,0.0
AMD A8-6600K APU,22.25,100.0,2013-06-01,FM2,Desktop,3900.0,4200.0,1,2,2,1807,993,64.0,2048.0,0.0
AMD A8-7050,0.0,15.0,2016-01-01,Unknown,Laptop,1800.0,3000.0,1,2,1,2910,14,64.0,2048.0,0.0
AMD A8-7100 APU,0.0,19.0,2014-08-01,FP3,Laptop,1800.0,3000.0,1,4,1,2475,150,64.0,2048.0,0.0
AMD A8-7200P,0.0,35.0,2015-07-01,FP3,Laptop,2400.0,3300.0,1,4,1,2171,19,64.0,2048.0,0.0
AMD A8-7410 APU,0.0,25.0,2015-06-01,Unknown,Laptop,2200.0,2500.0,1,4,1,2369,1193,64.0,2048.0,0.0
AMD A8-7500,0.0,65.0,2016-06-01,FM2+,Desktop,3000.0,0.0,1,2,2,1576,6,64.0,2048.0,0.0
AMD A8-7600 APU,31.13,65.0,2014-07-01,FM2+,Desktop,3100.0,3800.0,1,2,2,1721,1707,64.0,2048.0,0.0
AMD A8-7650K,38.18,65.0,2015-02-01,FM2+,Desktop,3300.0,3700.0,1,2,2,1769,386,64.0,2048.0,0.0
AMD A8-7670K,79.5,95.0,2015-09-01,FM2+,Desktop,3600.0,3900.0,1,4,1,1730,90,64.0,2048.0,0.0
AMD A8-7680,44.22,45.0,2019-01-01,FM2+,Laptop,3500.0,3800.0,1,4,1,1625,53,64.0,2048.0,0.0
AMD A8-8600P,0.0,15.0,2015-08-01,FP4,Laptop,1600.0,3000.0,1,2,2,2132,28,64.0,2048.0,0.0
AMD A8-8650,0.0,65.0,2015-11-01,FM2+,Desktop,3200.0,3800.0,1,4,1,1880,57,64.0,2048.0,0.0
AMD A8-9600,66.96,65.0,2017-04-01,AM4,Desktop,3100.0,3400.0,1,4,1,1692,248,64.0,2048.0,0.0
